EmailAddress,syntax,numOfMxRecords,checkTimestamp,smtpSummary,errorID,pec,role,reserved,disposable,free-provider
aslumbria1@postacert.umbria.it,True,1,1505815706666,True,True,False,False,False,False
aslumbria2@postacert.umbria.it,True,1,1505815719100,True,True,False,False,False,False
prot.gen.asl.vt.it@legalmail.it,True,1,1505815732105,True,True,False,False,False,False
protocollo@pec.aslromag.it,True,1,1505815744377,True,True,False,False,False,False
affarigenerali.asprc@certificatamail.it,True,1,1505815746478,True,True,False,False,False,False
protocollo.generale@pec.aobrotzu.it,True,1,1505815748639,True,True,False,False,False,False
aas5.protgen@certsanita.fvg.it,True,1,1505815751591,True,True,False,False,False,False
aspvibovalentia@pec.it,True,1,1505815753803,True,True,False,False,False,False
xvcmvalledelliri@pec.it,True,1,1505815755989,True,True,False,False,False,False
protocollogenerale@pec.asl.novara.it,True,1,1505815758171,True,True,False,False,False,False
protocollo.aulss1@pecveneto.it,True,1,1505815767446,True,True,False,False,False,False
dir.generale@pec.aslna1centro.it,True,1,1505815769529,True,True,False,False,False,False
protocollo.generale@pec.atssardegna.it,True,1,1505815771915,True,False,False,False,False,False
aslteramo@raccomandata.eu,True,1,1505815774186,True,True,False,False,False,False
comune.bascape@pec.regione.lombardia.it,True,1,1505815776372,True,True,False,False,False,False
protocollo.aulss2@pecveneto.it,True,1,1505815778487,True,True,False,False,False,False
accademia.torino@pec.it,True,1,1505815780670,True,True,False,False,False,False
atorifiuti.cuneo@legal.email.it,True,1,1505815782802,True,True,False,False,False,False
atocaloreirpino@pec.it,True,1,1505815795596,True,True,False,False,False,False
protocollo@pec.atoambientecl1.it,True,1,1505815797760,True,False,False,False,False,False
aziendaturismocastellammare@pec.it,True,1,1505815799919,True,True,False,False,False,False
aacst@pecischia.it,True,1,1505815802183,True,True,False,False,False,False
aziendacampiflegrei@pec.it,True,1,1505815804260,True,True,False,False,False,False
amministrazione.vicoturismo@pec.it,True,1,1505815806347,True,True,False,False,False,False
aziendaturismo@pec.it,True,1,1505815808484,True,True,False,False,False,False
affarigenerali@pec.pompeiturismo.it,True,1,1505815810681,True,True,False,False,False,False
aziendaautonomatermeacireale@pec.it,True,1,1505815812933,True,True,False,False,False,False
aas3.protgen@certsanita.fvg.it,True,1,1505815815242,True,True,False,False,False,False
agenzialavoro@pec.arlas.campania.it,True,1,1505815817510,True,True,False,False,False,False
fatturazioneales@pec.it,True,1,1505815819605,True,True,False,False,False,False
aspsgobba@pec.it,True,1,1505815821710,True,True,False,False,False,False
suoldaleramo@cert.ruparpiemonte.it,True,1,1505815823908,True,True,False,False,False,False
amministrazione@pec.turismotorino.org,True,1,1505815831531,True,False,False,False,False,False
se.aar.bz@legalmail.it,True,1,1505815834019,True,True,False,False,False,False
aas2.protgen@certsanita.fvg.it,True,1,1505815846795,True,True,False,False,False,False
asuits@certsanita.fvg.it,True,1,1505815848896,True,True,False,False,False,False
aziendaturismonapoli@pec.inaples.it,True,1,1505815857087,True,True,False,False,False,False
aastpaestum@legalmail.it,True,1,1505815859172,True,True,False,False,False,False
sferisterio@pec.it,True,1,1505815871404,True,True,False,False,False,False
asuiud@certsanita.fvg.it,True,1,1505815873491,True,True,False,False,False,False
infoasea@legalmail.it,True,1,1505815880600,True,True,False,False,False,False
segreteria@pec.anconambiente.it,True,1,1505815892876,True,False,False,False,False,False
info@sorrentotourism.it,True,1,1505815905126,True,True,True,False,False,False
info@pec.termoli.net,True,1,1505815907266,True,False,True,False,False,False
aastamalfi@pec.it,True,1,1505815910327,True,True,False,False,False,False
cavaturismo@pec.tuttopec.it,True,1,1505815912508,True,True,False,False,False,False
aastmaiori@legalmail.it,True,1,1505815914671,True,True,False,False,False,False
aziendaturismopositano@pec.it,True,1,1505815926896,True,True,False,False,False,False
info@pec.ravellotime.it,True,1,1505815929043,True,False,True,False,False,False
aziendaturismo.sa@pec.tuttopec.it,True,1,1505815931207,True,True,False,False,False,False
ato-r@pcert.it,True,1,1505815933309,True,True,False,False,False,False
